Name,City,State,Rank
Mohan Lal Sukhadia University,Udaipur,Rajasthan,59
Sri Padmavathi Mahila Visvavidyalayam,Tirupati,Andhra Pradesh,60
Smt. Kishoritai Bhoyar College of Pharmacy,Nagpur,Maharashtra,61
"Kumaun University, Nainital",Nainital,Uttarakhand,62
Acharya Nagarjuna University College of Pharmaceutical Sciences,Guntur,Andhra Pradesh,63
Vels Institute of Science Technology and Advanced Studies (VISTAS),Chennai,Tamil Nadu,64
Nandha College of Pharmacy,Erode,Tamil Nadu,65
Chandigarh College of Pharmacy,Landran,Punjab,66
"Krishna Vishwa Vidyapeeth, Karad",Karad,Maharashtra,67
M. S. Ramaiah University of Applied Sciences,Bengaluru,Karnataka,68
Sharda University,Greater Noida,Uttar Pradesh,69
Gujarat Technological University,Ahmedabad,Gujarat,70
Anurag University,Hyderabad,Telangana,71
Dr. Vishwanath Karad MIT World Peace University,Pune,Maharashtra,72
Bombay College of Pharmacy,Mumbai,Maharashtra,73
Guru Nanak Institute of Pharmaceutical Science and Technology,Kolkata,West Bengal,74
Bundelkhand University,Jhansi,Uttar Pradesh,74
Y. B. Chavan College of Pharmacy,Aurangabad,Maharashtra,76
KIET Group of Institutions: School of Pharmacy,Ghaziabad,Uttar Pradesh,77
"College of Pharmacy, Madras Medical College",Chennai,Tamil Nadu,78
Sri Venkateswara College of Pharmacy,Chittoor,Andhra Pradesh,79
Bharati Vidyapeeth College of Pharmacy,Kolhapur,Maharashtra,80
DIT University,Dehradun,Uttarakhand,81
Arulmigu Kalasalingam College of Pharmacy,Srivilliputtur,Tamil Nadu,82
Sri Adichunchanagiri College of Pharmacy,B G Nagar,Karnataka,83
B. S. Abdur Rahman Crescent Institute of Science and Technology,Chennai,Tamil Nadu,84
"Sam Higginbottom Institute of Agriculture, Technology and Sciences",Prayagraj,Uttar Pradesh,85
Acharya & B M Reddy College of Pharmacy,Bengaluru,Karnataka,86
Vishnu Institute of Pharmaceutical Education and Research,Narsapur,Telangana,87
Kakatiya University,Warangal,Telangana,88
Vinayaka Mission's Research Foundation,Salem,Tamil Nadu,89
Ramanbhai Patel College of Pharmacy,Anand,Gujarat,90
"Uka Tarsadia University, Bardoli",Bardoli,Gujarat,91
Shri Vishnu College of Pharmacy,Bhimavaram,Andhra Pradesh,92
Goa College of Pharmacy,Panaji,Goa,93
Dr. B. C. Roy College of Pharmacy and Allied Health Sciences,Durgapur,West Bengal,94
CMR College of Pharmacy,Rangareddy,Telangana,95
P. E. Society`s Modern College of Pharmacy,Pune,Maharashtra,96
Principal K.M. Kundnani College of Pharmacy,Mumbai,Maharashtra,97
Krupanidhi College of Pharmacy,Bengaluru,Karnataka,98
AISSMS College of Pharmacy,Pune,Maharashtra,99
"College of Pharmacy, Pandit Bhagwat Dayal Sharma University of Health Sciences",Rohtak,Haryana,100
