Name,City,State,Rank
National Institute of Technology Raipur,Raipur,Chhattisgarh,71
Maulana Azad National Institute of Technology,Bhopal,Madhya Pradesh,72
Indian Institute of Technology Bhilai,Raipur,Chhattisgarh,73
International Institute of Information Technology Bangalore,Bengaluru,Karnataka,74
M. S. Ramaiah Institute of Technology,Bengaluru,Karnataka,75
Sant Longowal Institute of Engineering and Technology,Longowal,Punjab,76
COEP Technological University,Pune,Maharashtra,77
Banasthali Vidyapith,Banasthali,Rajasthan,78
National Institute of Technology Srinagar,Srinagar,Jammu and Kashmir,79
Rajiv Gandhi Institute of Petroleum Technology,Amethi,Uttar Pradesh,80
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,81
National Institute of Technology Agartala,Agratala,Tripura,82
Sri Krishna College of Engineering and Technology,Coimbatore,Tamil Nadu,83
Madan Mohan Malaviya University of Technology,Gorakhpur,Uttar Pradesh,84
Indraprastha Institute of Information Technology,New Delhi,Delhi,85
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,Chennai,Tamil Nadu,86
Indian Institute of Information Technology Allahabad,Prayagraj,Uttar Pradesh,87
Jawaharlal Nehru Technological University,Hyderabad,Telangana,88
Guru Gobind Singh Indraprastha University,New Delhi,Delhi,89
AU College of Engineering (A),Visakhapatnam,Andhra Pradesh,90
"Vignan's Foundation for Science, Technology and Research",Guntur,Andhra Pradesh,91
Shoolini University of Biotechnology and Management Sciences,Solan,Himachal Pradesh,92
Christ University,Bengaluru,Karnataka,93
Chitkara University,Rajpura,Punjab,94
"Jain University, Bangalore",Bengaluru,Karnataka,95
"C.V. Raman Global University, Odisha",Bhubaneswar,Odisha,96
National Institute of Technology Puducherry,Karaikal,Pondicherry,97
SR University,Warangal,Telangana,98
R. V. College of Engineering,Bengaluru,Karnataka,99
Siddaganga Institute of Technology,Tumkur,Karnataka,100
